PAA,SAX,MCB
-0.0023263243330001087,b,b
-0.0024009601766335023,b,b
-0.0024238991676001323,b,b
-0.002496022446966824,a,a
-0.002415761145000151,c,b
-0.0024362893311334717,a,a
-0.002494181171833448,b,b
-0.0024892271841001385,c,c
-0.0024464821857334597,a,a
-0.002417826153600165,a,a
-0.002414591322066814,a,a
-0.002374826901400134,a,a
-0.002399312165366823,a,a
-0.0024435728476668367,b,b
-0.002445759946933511,b,a
-0.0024421690750001516,b,c
-0.0023263243330001087,b,a
-0.0024009601766335023,a,c
-0.0024238991676001323,c,c
-0.002496022446966824,a,c
-0.002415761145000151,b,a
-0.0024362893311334717,c,a
-0.002494181171833448,a,b
-0.0024892271841001385,a,a
-0.0024464821857334597,a,c
-0.002417826153600165,a,a
-0.002414591322066814,a,b
-0.002374826901400134,b,b
-0.002399312165366823,b,c
-0.0024435728476668367,b,a
-0.002445759946933511,b,c
-0.0024421690750001516,a,c
0.002931508460566752,c,a
0.002987396368100086,a,c
0.0030181173981000853,b,c
0.0029184977404666784,c,a
0.0030332643241333607,a,a
0.002966847969966724,a,a
0.002969848718300093,a,a
0.0030461732404333504,a,a
0.0031126303204000007,a,b
0.0031330670002000373,b,b
0.0030925904547666506,b,a
0.0030255331607667224,b,a
0.0030556540440666766,b,c
0.0030060527190000587,a,b
0.0030476787088333204,c,c
0.0030805159225333317,a,c
0.0030816652497667467,b,a
0.003107737584166687,c,a
0.003186239017133341,a,c
0.0031545108575000156,a,a
0.003172963728433349,a,b
0.003168050558333301,a,c
0.003125468297133367,a,c
0.003250386907133331,b,b
0.0032354230579666196,b,a
0.0031884971977000206,b,a
0.0032540185899999786,b,a
0.0032007856311332883,a,b
0.0030501101156000464,c,c
0.0031469729760999973,a,a
0.003423716261599963,b,c
0.003712158566233314,c,a
0.003896372711999895,a,a
0.003452637533133254,a,a
0.0036540225210333907,a,c
0.0041839398135666075,a,a
0.0037489728766999446,a,c
0.004017903837533303,b,c
0.0036041972210667087,b,c
0.0034691265500999906,b,b
0.003766672922800004,b,c
0.003621022685300082,a,c
0.003842153100566633,c,c
0.0036956787074667284,a,b
0.004117238582133379,b,b
0.005093546336533301,c,a
0.008497243779833304,a,a
-0.0017326248042666688,a,b
-0.006481974792533389,a,c
0.00775557470833334,a,c
0.0014221901434999973,a,b
-0.007104989831266579,b,a
0.0009751483989000271,b,a
0.008309570401566704,b,c
0.0015429681173999806,b,a
-0.006433930403833288,a,a
0.0023135785610666495,c,a
0.005013245277899975,a,a
0.004968485994733298,b,c
-0.0060326537340667005,c,c
-0.002738332095700095,a,a
-0.0027499084076667802,a,c
-0.0028015645345334317,a,a
-0.002754231742866763,a,c
-0.0027481383798001187,a,c
-0.00274832151940015,b,a
-0.0027887674695001446,b,a
-0.002831654862300138,b,b
-0.0028154602131667443,b,a
-0.0027980346508334596,a,c
-0.0028012898499001084,c,a
-0.00280368041883345,a,a
-0.0027912902728334426,b,a
-0.0027977701613001375,c,b
-0.002810495979433414,a,c
0.00034623208296666823,a,c
0.00030578611543333065,a,c
0.0001921895330333327,a,c
0.00021495579059999895,a,b
0.0002334187830333334,b,a
0.0001426188382333335,b,b
0.00023974610103333103,b,a
0.00022974647133333387,b,b
0.00026048791216666756,a,b
0.0002901918615333329,c,b
0.00018281055753333324,a,b
0.000203196283866665,b,a
0.00026401784636666405,c,a
0.00017394008266666746,a,b
0.00019695027223333217,a,c
0.0003162131327333324,a,a
-0.002184193649033423,a,b
-0.0021637367328000466,a,c
-0.002188862911666773,b,b
-0.002148803518233383,b,b
-0.002185689077833429,b,b
-0.0021381019672333875,b,c
-0.002252227577466779,a,c
-0.002201741306366778,c,c
-0.0022587990265334483,a,c
-0.002203633404600072,b,a
-0.0023106280542001304,c,b
-0.00233231590653348,a,c
-0.002374755564800129,a,c
-0.00239368676010015,a,b
-0.002372141356766788,a,a
0.0033631901918333164,a,b
0.0034414678980999873,b,b
0.0034860844407666415,b,c
0.003417562454633292,b,a
0.003467814601333322,b,b
0.0033579818272999867,a,a
0.003401622043299983,c,c
0.0035377100027333378,a,b
0.003352264795700026,b,c
0.0033898523577666688,c,c
0.0033201704625000134,a,b
0.003376567090199996,a,a
0.0033472904273000423,a,c
0.0034266464602000254,a,b
0.003303162058799972,a,c
0.0035532737695333125,b,a
-0.0004698691722666577,b,c
-0.0002766418555999906,b,a
-0.000585276227533339,b,c
-0.0003448688859999978,a,b
-8.367934796666482e-05,c,b
-3.086343306666512e-05,a,b
7.625340566666687e-05,b,a
-0.0007852579238333367,c,a
-4.333540100002797e-06,a,c
-2.6560484466668435e-05,a,c
-0.0004865316080000041,a,b
0.0004029951154333363,a,b
-0.0005476889148666698,a,b
0.0002632444368666649,b,a
7.701642480000502e-05,b,a
0.0020851951788000496,b,c
0.00227985652650001,b,c
0.002217834597766692,a,c
0.0024851175059667136,c,b
0.0022050784288333764,a,c
0.0023675843847334,b,a
0.0024855554066333936,c,b
0.0028126122300666857,a,c
0.002573446041833365,a,b
0.0025047405440666555,a,c
0.002538615324133393,a,c
